word,count,corpus,label,Zdenka_old_hand_label
στοιχεῖον,331,christian_0_300,-1.0,
ἔλεος,330,christian_0_300,-1.0,
πλούσιος,330,christian_0_300,-1.0,
ἀδικία,330,christian_0_300,4.0,
Δαυίδ,328,christian_0_300,-1,
ὄψις,328,christian_0_300,-1.0,
νίζω,327,christian_0_300,-1,
φύω,327,christian_0_300,-1.0,
κτάομαι,325,christian_0_300,-1.0,
πυνθάνομαι,324,christian_0_300,-1.0,
ἀστήρ,323,christian_0_300,-1.0,
γνώμη,323,christian_0_300,-1.0,
ἐπιστήμη,323,christian_0_300,-1.0,
σώζω,322,christian_0_300,-1,
προστάσσω,321,christian_0_300,-1.0,
ἀόρατος,321,christian_0_300,-1.0,
δίκη,321,christian_0_300,-1.0,
Ἱερεμίας,319,christian_0_300,-1,
ἀμφότερος,318,christian_0_300,-1.0,
ἕπομαι,318,christian_0_300,-1.0,
καθίστημι,317,christian_0_300,-1.0,
νόσος,317,christian_0_300,4,
παραπλήσιος,317,christian_0_300,-1.0,
βιόω,317,christian_0_300,-1.0,
αἰσθητός,317,christian_0_300,-1.0,
ἀποκαλύπτω,316,christian_0_300,-1.0,
ἀπαλλάσσω,315,christian_0_300,-1.0,
ἐλπίζω,314,christian_0_300,-1.0,
ἥκω,313,christian_0_300,-1.0,
δεσπότης,313,christian_0_300,-1,
ὑπάγω,311,christian_0_300,-1.0,
κωλύω,311,christian_0_300,-1.0,
πηγή,311,christian_0_300,-1.0,
θεάομαι,310,christian_0_300,-1.0,
περιέχω,310,christian_0_300,-1.0,
δουλεύω,309,christian_0_300,-1.0,
ἐπικαλέω,308,christian_0_300,-1.0,
γνωστικός,307,christian_0_300,1,
κατανοέω,306,christian_0_300,-1.0,
ἰατρός,306,christian_0_300,-1.0,
διάφορος,305,christian_0_300,-1.0,
ἐρωτάω,304,christian_0_300,-1.0,
διαθήκη,304,christian_0_300,-1.0,
εὐσέβεια,303,christian_0_300,-1.0,
λεκτέος,303,christian_0_300,-1,
ἰούδας,302,christian_0_300,-1.0,
ἀφαιρέω,301,christian_0_300,-1.0,
ἀπέχω,301,christian_0_300,-1.0,
εἴδωλον,298,christian_0_300,1.0,
ἄγνοια,298,christian_0_300,4,
ἀθάνατος,297,christian_0_300,-1.0,
λυπέω,296,christian_0_300,-1,
ὅσος,296,christian_0_300,-1,
μεταβάλλω,295,christian_0_300,-1.0,
Φαρισαῖος,294,christian_0_300,6,
μάρτυς,294,christian_0_300,5.0,
κλαίω,294,christian_0_300,-1.0,
ἐμφαίνω,294,christian_0_300,-1.0,
σταυρόω,293,christian_0_300,5,
ἰσραήλ,292,christian_0_300,-1.0,
ψεῦδος,291,christian_0_300,2,
ταράσσω,289,christian_0_300,5.0,
